Timestamp,User,Bot,Intent,Sentiment
2025-11-02 18:35:12,"hello, how are you?  ",Hello! How can I assist you today?,greeting,Neutral
2025-11-02 18:35:29,"  hey, whatâ€™s up? ",Hello! How can I assist you today?,greeting,Neutral
2025-11-02 18:36:10,you are really cool  ,Thanks! Iâ€™m glad you like it ðŸ˜Š,compliment,Positive
2025-11-02 18:36:32,  I hate this ,Hello! How can I assist you today?,greeting,Negative
2025-11-02 18:37:04,what time is it right now ,Let me check... It's 06:37 PM!,ask_time,Positive
2025-11-02 18:37:20,  whatâ€™s your name,That's an interesting question! Letâ€™s talk about it.,neutral_question,Neutral
2025-11-02 18:37:32,  whatâ€™s your name,That's an interesting question! Letâ€™s talk about it.,neutral_question,Neutral
2025-11-02 18:37:53,  can you help me with a question  ,Sure! Tell me what you need help with.,ask_help,Neutral
2025-11-02 18:38:15, Iâ€™m upset because my code isnâ€™t working ,I'm sorry to hear that. Want to talk about it?,feeling_sad,Neutral
2025-11-02 18:38:39,"Iâ€™m fine, just a normal day",Got it! Sounds like an average day. How can I help you?,feeling_neutral,Positive
2025-11-02 18:39:06,Iâ€™m so mad right now,I'm sorry to hear that. Want to talk about it?,feeling_sad,Neutral
